bv_id,year,net_assets_th_gbp
GB07115573,2012,33.068
GB07115573,2013,32.172
GB07115573,2014,45.587
GB07115573,2015,45.587
GB07115573,2016,187.384
GB07115573,2017,253.933
GB07115573,2018,209.9
GB07115573,2019,125.603
GB07115591,2011,0.62
GB07115591,2012,22.286
GB07115591,2013,9.733
GB07115591,2014,-18.261
GB07115591,2015,-16.392
GB07115591,2016,59.135
GB07115591,2017,3.862
GB07115591,2018,18.325
GB07115591,2019,15.856
GB07115603,2011,0.899
GB07115603,2012,0.0
GB07115603,2013,0.0
GB07115603,2014,0.001
GB07115603,2015,0.001
GB07115603,2016,0.001
GB07115603,2017,11.85
GB07115603,2018,23.623
GB07115603,2019,-11.889
GB07115706,2011,0.002
GB07115706,2012,0.002
GB07115706,2013,8.378
GB07115706,2014,7.721
GB07115706,2015,-99.891
GB07115706,2016,-164.508
GB07115706,2017,-385.745
GB07115706,2018,-721.888
GB07115728,2011,4.395
GB07115728,2012,4.165
GB07115728,2013,2.039
GB07115728,2014,0.485
GB07115728,2015,0.33
GB07115728,2016,0.114
GB07115728,2017,-2.744
GB07115728,2018,-3.107
GB07115728,2019,7.794
GB07115729,2011,0.079
GB07115729,2012,1.076
GB07115729,2013,0.001
GB07115729,2014,0.001
GB07115729,2015,0.212
GB07115729,2016,0.924
GB07115729,2017,0.015
GB07115741,2011,2.621
GB07115741,2012,0.124
GB07115741,2013,0.06
GB07115741,2014,3.511
GB07115741,2015,0.018
GB07115741,2016,8.061
GB07115741,2017,2.716
GB07115741,2018,0.029
GB07115741,2019,1.317
GB07115763,2011,0.001
GB07115763,2012,0.001
GB07115763,2013,0.001
GB07115763,2014,0.001
GB07115763,2015,0.004
GB07115763,2016,8.391
GB07115763,2017,6.918
GB07115763,2018,11.631
GB07115763,2019,11.631
GB07115779,2011,0.1
GB07115779,2012,0.06
GB07115779,2013,-3.05
GB07115779,2014,-3.666
GB07115779,2015,-11.612
GB07115779,2016,-13.817
GB07115779,2017,-10.602
GB07115779,2018,-15.014
GB07115816,2011,2.633
GB07115816,2012,3.335
GB07115816,2013,2.426
GB07115816,2014,3.298
GB07115816,2015,5.596
GB07115816,2016,9.698
GB07115837,2011,2.645
GB07115837,2012,12.903
GB07115837,2013,23.099
GB07115837,2014,0.1
GB07115837,2015,0.1
GB07115837,2016,-14.666
GB07115837,2017,6.265
GB07115853,2011,13.436
GB07115853,2012,-240.825
GB07115853,2013,124.281
GB07115853,2014,197.083
GB07115853,2015,-115.79
GB07115853,2016,37.345
GB07115853,2017,270.241
GB07115853,2018,152.795
GB07115853,2019,3.417
GB07115863,2011,1.713
GB07115863,2012,0.002
GB07115863,2013,21.918
GB07115863,2014,25.0
GB07115923,2011,-195.753
GB07115923,2012,-283.518
GB07115923,2013,-239.089
GB07115923,2014,-73.693
GB07115923,2015,-16.555
GB07115923,2016,-36.589
GB07115923,2017,-106.822
GB07115923,2018,-227.956
GB07115951,2011,-12.564
GB07115951,2012,-12.324
GB07115951,2013,-12.301
GB07115951,2014,-16.147
GB07115951,2015,-28.948
GB07115951,2016,-31.884
GB07115951,2017,-39.539
GB07115951,2018,-48.023
GB07115951,2019,-48.368
GB07115982,2011,0.555
GB07115982,2012,15.036
GB07115982,2013,22.84
GB07115982,2014,6.743
GB07115982,2015,6.345
GB07115982,2016,0.001
GB07115983,2011,2.591
GB07115983,2012,1.124
GB07115983,2013,0.007
GB07115983,2014,0.007
GB07115983,2015,0.007
GB07115983,2016,0.007
GB07115983,2017,0.007
GB07115983,2018,0.007
GB07115988,2011,0.368
GB07115988,2012,0.131
GB07115988,2013,0.18
GB07115988,2014,6.794
GB07115988,2015,6.328
GB07115988,2016,7.093
GB07115988,2017,10.588
GB07115988,2018,26.033
GB07115988,2019,16.858
GB07116037,2011,1.045
GB07116037,2012,1.426
GB07116037,2013,0.705
GB07116077,2011,0.1
GB07116077,2013,-41.0
GB07116077,2014,114.322
GB07116077,2015,304.278
GB07116077,2016,474.722
GB07116077,2017,633.597
GB07116077,2018,851.765
GB07116149,2011,1.438
GB07116149,2012,16.41
GB07116149,2013,9.884
GB07116149,2014,-1.33
GB07116149,2015,5.135
GB07116149,2016,0.159
GB07116149,2017,7.541
GB07116167,2011,0.094
GB07116167,2012,-1.87
GB07116167,2013,-9.674
GB07116167,2014,-9.674
GB07116189,2011,-17.457
GB07116189,2012,5.288
GB07116189,2013,0.002
GB07116189,2014,-0.684
GB07116189,2015,-1.618
GB07116189,2016,-6.349
GB07116189,2017,-6.782
GB07116189,2018,-2.598
GB07116189,2019,-3.815
GB07116194,2011,1.396
GB07116194,2012,5.768
GB07116194,2013,1.283
GB07116194,2014,0.067
GB07116194,2015,0.24
GB07116194,2016,0.537
GB07116194,2017,0.635
GB07116194,2018,1.267
GB07116194,2019,3.059
GB07116196,2011,3.088
GB07116196,2012,6.514
GB07116196,2013,3.9
GB07116196,2014,0.511
GB07116196,2015,0.001
GB07116196,2016,0.441
GB07116196,2017,0.66
GB07116196,2018,0.852
GB07116196,2019,29.047
GB07116212,2011,0.001
GB07116212,2012,0.001
GB07116212,2013,0.021
GB07116212,2014,-0.296
GB07116212,2015,0.001
GB07116212,2016,1.788
GB07116212,2017,2.473
GB07116212,2018,0.001
GB07116214,2011,0.001
GB07116214,2012,0.001
GB07116214,2013,0.001
GB07116214,2014,0.001
GB07116214,2015,1.352
GB07116214,2016,13.731
GB07116214,2017,0.572
GB07116214,2018,2.839
GB07116214,2019,11.239
GB07116219,2011,8.921
GB07116219,2012,3.09
GB07116219,2013,2.385
GB07116237,2011,-5.69
GB07116237,2012,-5.69
GB07116237,2013,-5.69
GB07116237,2014,-4.19
GB07116237,2015,0.602
GB07116237,2016,1.101
GB07116237,2017,1.569
GB07116237,2018,0.484
GB07116237,2019,63.039
GB07116280,2011,-175.18
GB07116280,2012,-190.566
GB07116280,2013,-184.653
GB07116280,2014,-170.464
GB07116310,2011,14.614
GB07116310,2012,13.951
GB07116310,2013,1.132
GB07116310,2014,19.156
GB07116310,2015,42.841
GB07116310,2016,18.026
GB07116310,2017,41.201
GB07116310,2018,96.819
GB07116310,2019,156.335
GB07116325,2011,9.585
GB07116325,2012,6.76
GB07116325,2013,7.086
GB07116325,2014,2.162
GB07116325,2015,0.701
GB07116325,2016,0.22
GB07116325,2017,0.916
GB07116341,2011,4.097
GB07116341,2012,5.926
GB07116341,2013,4.644
GB07116341,2014,0.407
GB07116341,2015,1.073
GB07116341,2016,0.219
GB07116341,2017,-0.663
GB07116341,2018,-0.714
GB07116341,2019,-0.714
GB07116366,2011,23.793
GB07116366,2012,1.329
GB07116366,2013,0.872
GB07116366,2014,23.309
GB07116366,2015,23.282
GB07116366,2016,23.852
GB07116366,2017,23.807
GB07116366,2018,23.796
GB07116366,2019,23.792
GB07116368,2011,298.575
GB07116368,2012,-405.613
GB07116368,2013,2.168
GB07116368,2014,6.094
GB07116368,2015,14.87
GB07116368,2016,2.151
GB07116368,2017,-0.516
GB07116368,2018,83.621
GB07116405,2011,-14.297
GB07116405,2012,-24.104
GB07116405,2013,-24.684
GB07116405,2014,-22.166
GB07116405,2015,-20.175
GB07116405,2016,-18.566
GB07116405,2017,-17.013
GB07116405,2018,-15.383
GB07116405,2019,-13.767
GB07116441,2011,-17.642
GB07116441,2012,-22.779
GB07116441,2013,-28.281
GB07116441,2014,-33.834
GB07116441,2015,-36.547
GB07116441,2016,-36.547
GB07116441,2017,-36.547
GB07116441,2018,-36.547
GB07116467,2011,0.4
GB07116467,2012,0.4
GB07116467,2013,0.4
GB07116483,2011,0.0
GB07116483,2012,0.5
GB07116483,2013,0.5
GB07116483,2014,0.0
GB07116483,2015,0.0
GB07116483,2017,-6.619
GB07116483,2018,-14.834
GB07116483,2019,-75.863
GB07116500,2011,-62.515
GB07116500,2012,-6.976
GB07116500,2013,-237.002
GB07116500,2014,-583.324
GB07116500,2015,-908.132
GB07116500,2016,-723.845
GB07116500,2017,-836.449
GB07116500,2018,-1027.646
GB07116508,2011,0.001
GB07116508,2012,0.535
GB07116508,2013,0.26
GB07116508,2014,-0.701
GB07116508,2015,0.202
GB07116508,2016,0.235
GB07116508,2017,0.422
GB07116508,2018,3.259
GB07116508,2019,2.653
GB07116519,2011,0.181
GB07116519,2012,0.474
GB07116519,2013,3.032
GB07116519,2014,-2.685
GB07116519,2015,-17.831
GB07116519,2016,-30.685
GB07116519,2017,-5.509
GB07116519,2018,-38.439
GB07116525,2011,0.379
GB07116525,2012,0.007
GB07116525,2013,0.024
GB07116525,2014,0.003
GB07116525,2015,0.007
GB07116525,2016,0.037
GB07116525,2017,7.011
GB07116525,2018,7.254
GB07116525,2019,10.991
GB07116526,2011,0.286
GB07116526,2012,0.205
GB07116526,2013,0.296
GB07116566,2011,-9.283
GB07116566,2012,-11.515
GB07116566,2013,-12.844
GB07116566,2014,-7.225
GB07116566,2015,-5.156
GB07116566,2016,-0.654
GB07116566,2017,0.212
GB07116566,2018,1.173
GB07116566,2019,0.127
GB07116581,2011,0.024
GB07116581,2012,36.082
GB07116581,2013,15.505
GB07116581,2014,9.939
GB07116581,2015,11.927
GB07116581,2016,14.439
GB07116581,2017,-0.035
GB07116581,2018,10.559
GB07116581,2019,0.021
GB07116611,2011,-7.876
GB07116611,2012,0.226
GB07116611,2013,8.931
GB07116611,2014,24.463
GB07116611,2015,0.0
GB07116611,2016,0.0
GB07116611,2017,0.0
GB07116611,2018,0.0
GB07116630,2011,0.002
GB07116630,2012,-78.669
GB07116630,2013,-97.45
GB07116630,2014,-101.095
GB07116630,2015,-105.824
GB07116630,2016,-111.527
GB07116630,2017,-117.53
GB07116630,2018,-122.443
GB07116630,2019,-126.346
GB07116670,2011,5.772
GB07116670,2012,2.685
GB07116670,2013,1.046
GB07116670,2014,0.367
GB07116670,2015,-0.312
GB07116670,2016,-0.312
GB07116670,2017,0.266
GB07116670,2018,0.352
GB07116670,2019,-0.77
GB07116677,2011,0.578
GB07116677,2012,0.334
GB07116682,2011,-6.942
GB07116682,2012,2.498
GB07116682,2013,-0.402
GB07116682,2014,2.426
GB07116682,2015,1.955
GB07116682,2016,3.457
GB07116682,2017,27.583
GB07116682,2018,64.403
GB07116682,2019,65.258
GB07116714,2011,0.105
GB07116714,2012,7.05
GB07116714,2013,8.203
GB07116714,2014,3.984
GB07116714,2015,1.431
GB07116714,2016,-10.49
GB07116714,2017,-20.167
GB07116714,2018,-48.665
GB07116714,2019,-109.532
GB07116738,2011,0.099
GB07116738,2012,2.579
GB07116738,2013,5.162
GB07116738,2014,0.35
GB07116738,2015,0.108
GB07116738,2016,0.217
GB07116738,2017,0.055
GB07116738,2018,0.165
GB07116738,2019,0.73
GB07116741,2011,5.254
GB07116741,2012,1.465
GB07116741,2013,17.402
GB07116741,2014,-18.793
GB07116741,2015,-7.438
GB07116741,2016,0.005
GB07116741,2017,-0.04
GB07116741,2019,0.006
GB07116746,2011,0.661
GB07116746,2012,-8.832
GB07116746,2013,5.305
GB07116746,2014,5.396
GB07116746,2015,0.171
GB07116746,2016,2.265
GB07116746,2017,0.566
GB07116778,2011,0.383
GB07116778,2012,0.35
GB07116778,2013,0.2
GB07116778,2014,2.808
GB07116778,2016,1.0
GB07116778,2017,1.0
GB07116801,2011,16.972
GB07116801,2012,79.293
GB07116801,2013,165.631
GB07116801,2014,98.879
GB07116801,2015,22.138
GB07116801,2016,0.991
GB07116801,2017,17.315
GB07116801,2018,-8.362
GB07116801,2019,-17.902
GB07116826,2011,-7.851
GB07116826,2012,-30.873
GB07116826,2013,-42.869
GB07116826,2014,-43.124
GB07116826,2015,-40.477
GB07116826,2016,-40.263
GB07116826,2017,-35.847
GB07116826,2018,-36.194
GB07116839,2011,-11.161
GB07116839,2012,-5.351
GB07116839,2013,0.002
GB07116857,2011,1.322
GB07116857,2012,1.214
GB07116857,2013,1.099
GB07116857,2014,1.099
GB07116857,2015,1.0
GB07116937,2011,0.952
GB07116937,2012,0.274
GB07116937,2014,2.566
GB07116937,2015,0.165
GB07116937,2016,0.161
GB07116937,2017,0.43
GB07116937,2018,1.024
GB07116939,2011,0.008
GB07116939,2012,0.32
GB07116939,2013,1.934
GB07116939,2014,4.552
GB07116939,2015,4.663
GB07116939,2016,7.873
GB07116939,2017,6.016
GB07116939,2018,10.487
GB07116939,2019,24.523
GB07116941,2011,-2.195
GB07116941,2012,-11.852
GB07116941,2013,-16.678
GB07116941,2014,0.001
GB07116941,2015,0.001
GB07116941,2016,0.001
GB07116941,2017,0.001
GB07116941,2018,0.1
GB07116941,2019,0.1
GB07116962,2011,4.261
GB07116962,2012,1.443
GB07116962,2013,0.974
GB07116962,2014,0.959
GB07117003,2011,5.371
GB07117003,2012,7.894
GB07117003,2013,2.795
GB07117003,2014,0.306
GB07117003,2015,0.898
GB07117003,2016,0.798
GB07117003,2017,3.501
GB07117003,2018,3.201
GB07117003,2019,2.474
GB07117018,2011,10.893
GB07117018,2012,0.459
GB07117018,2013,0.254
GB07117018,2014,0.008
GB07117018,2015,0.031
GB07117046,2011,3.322
GB07117046,2012,3.865
GB07117046,2013,4.658
GB07117046,2014,2.405
GB07117046,2015,5.034
GB07117046,2016,21.867
GB07117046,2017,45.023
GB07117046,2018,40.519
GB07117046,2019,33.494
GB07117109,2011,0.004
GB07117109,2012,-31.482
GB07117109,2013,-48.026
GB07117111,2011,-0.106
GB07117111,2012,0.859
GB07117111,2013,4.703
GB07117111,2014,7.482
GB07117111,2015,2.371
GB07117111,2016,4.057
GB07117111,2017,-11.059
GB07117111,2018,-35.244
GB07117111,2019,3.813
GB07117120,2011,6.428
GB07117120,2012,17.406
GB07117120,2013,0.398
GB07117120,2014,13.295
GB07117120,2015,36.773
GB07117120,2016,10.583
GB07117120,2017,16.685
GB07117120,2018,20.369
GB07117120,2019,36.507
GB07117131,2011,-2.906
GB07117131,2012,-3.133
GB07117131,2013,-2.335
GB07117131,2014,-0.645
GB07117131,2015,0.113
GB07117131,2016,0.052
GB07117131,2017,2.647
GB07117131,2018,-0.451
GB07117131,2019,-1.49
GB07117133,2011,1.739
GB07117133,2012,4.682
GB07117133,2013,3.37
GB07117133,2014,2.671
GB07117133,2015,2.03
GB07117133,2016,0.588
GB07117133,2017,1.399
GB07117133,2018,3.637
GB07117163,2011,0.001
GB07117163,2012,0.002
GB07117163,2013,0.002
GB07117163,2014,0.002
GB07117163,2015,0.933
GB07117163,2016,2.84
GB07117163,2017,-1.574
GB07117163,2018,-2.785
GB07117163,2019,-3.253
GB07117169,2011,11.843
GB07117169,2012,0.023
GB07117169,2013,-8.002
GB07117169,2014,-0.85
GB07117169,2015,0.003
GB07117169,2016,0.045
GB07117169,2017,0.341
GB07117169,2018,-3.691
GB07117190,2011,2.127
GB07117190,2012,3.286
GB07117190,2013,2.548
GB07117190,2014,8.26
GB07117190,2015,4.617
GB07117190,2016,6.562
GB07117190,2017,3.71
GB07117190,2018,-1.651
GB07117190,2019,0.561
GB07117209,2011,0.087
GB07117209,2012,0.131
GB07117209,2013,0.191
GB07117209,2014,0.191
GB07117209,2015,14.478
GB07117209,2016,13.317
GB07117209,2017,1.037
GB07117209,2018,1.092
GB07117209,2019,0.654
GB07117222,2011,8.465
GB07117222,2012,1.025
GB07117222,2013,6.509
GB07117222,2014,11.892
GB07117222,2015,12.785
GB07117222,2016,25.76
GB07117222,2017,20.483
GB07117222,2018,14.753
GB07117222,2019,11.481
GB07117317,2011,0.471
GB07117317,2012,-1.133
GB07117317,2013,11.336
GB07117317,2014,23.099
GB07117317,2015,27.75
GB07117317,2016,8.993
GB07117317,2017,39.989
GB07117317,2018,52.84
GB07117338,2011,0.272
GB07117338,2012,-0.525
GB07117338,2013,4.649
GB07117338,2014,12.404
GB07117338,2015,23.063
GB07117338,2016,32.084
GB07117338,2017,32.207
GB07117338,2018,29.652
GB07117397,2011,0.5
GB07117397,2012,-0.813
GB07117397,2013,-0.813
GB07117397,2014,-0.813
GB07117397,2015,-3.925
GB07117397,2016,-5.164
GB07117397,2017,2.715
GB07117397,2018,2.724
GB07117397,2019,-13.828
GB07117439,2011,-21.796
GB07117439,2012,-58.601
GB07117439,2013,-65.794
GB07117449,2011,-6.101
GB07117449,2012,0.314
GB07117449,2013,-6.428
GB07117449,2014,0.447
GB07117449,2015,20.855
GB07117449,2016,15.045
GB07117449,2017,9.542
GB07117449,2018,0.148
GB07117449,2019,0.39
GB07117455,2011,-57.504
GB07117455,2012,-102.72
GB07117455,2013,-138.641
GB07117455,2014,-163.375
GB07117455,2015,-198.397
GB07117455,2016,-185.639
GB07117455,2017,-181.953
GB07117455,2018,-184.694
GB07117455,2019,-177.243
GB07117456,2011,16.013
GB07117456,2012,-177.766
GB07117465,2011,2.4
GB07117465,2012,0.563
GB07117465,2013,-0.668
GB07117465,2014,-0.423
GB07117465,2015,0.005
GB07117466,2011,0.758
GB07117466,2012,4.004
GB07117466,2013,7.087
GB07117466,2014,3.983
GB07117466,2015,0.467
GB07117466,2016,9.784
GB07117466,2017,12.86
GB07117466,2018,10.998
GB07117466,2019,12.346
GB07117472,2011,-89.524
GB07117472,2012,-188.199
GB07117472,2013,453.158
GB07117472,2014,-700.606
GB07117472,2015,-688.882
GB07117472,2016,-677.844
GB07117472,2017,-657.53
GB07117472,2018,-638.578
GB07117477,2011,-1.459
GB07117477,2012,1.389
GB07117477,2013,1.021
